episode,total_reward,steps,win
1,1,3,1
2,-1,1,0
3,1,2,1
4,-1,2,0
5,-1,1,0
6,-1,1,0
7,-1,1,0
8,-1,1,0
9,-1,1,0
10,-1,1,0
11,-1,3,0
12,1,1,1
13,-1,2,0
14,-1,2,0
15,-1,1,0
16,0,2,0
17,1,1,1
18,-1,1,0
19,-1,4,0
20,-1,1,0
21,1,2,1
22,-1,2,0
23,-1,1,0
24,1,1,1
25,1,1,1
26,-1,1,0
27,-1,1,0
28,1,1,1
29,1,2,1
30,-1,1,0
31,1,1,1
32,-1,3,0
33,-1,2,0
34,-1,1,0
35,1,1,1
36,-1,1,0
37,-1,3,0
38,-1,1,0
39,-1,1,0
40,-1,1,0
41,-1,1,0
42,-1,2,0
43,1,2,1
44,-1,2,0
45,-1,1,0
46,1,1,1
47,-1,1,0
48,-1,2,0
49,-1,2,0
50,-1,2,0
51,-1,2,0
52,1,1,1
53,1,2,1
54,-1,1,0
55,1,1,1
56,1,1,1
57,0,1,0
58,-1,2,0
59,-1,2,0
60,-1,2,0
61,-1,2,0
62,-1,3,0
63,0,2,0
64,-1,1,0
65,-1,1,0
66,-1,3,0
67,-1,1,0
68,-1,2,0
69,0,1,0
70,-1,2,0
71,-1,3,0
72,1,2,1
73,-1,1,0
74,-1,1,0
75,-1,1,0
76,-1,2,0
77,-1,1,0
78,-1,2,0
79,-1,1,0
80,-1,1,0
81,-1,1,0
82,1,2,1
83,-1,1,0
84,-1,2,0
85,1,1,1
86,-1,2,0
87,1,3,1
88,-1,1,0
89,1,2,1
90,-1,2,0
91,-1,2,0
92,-1,3,0
93,1,2,1
94,-1,1,0
95,1,2,1
96,-1,1,0
97,-1,1,0
98,-1,1,0
99,-1,1,0
100,1,3,1
101,-1,2,0
102,1,2,1
103,-1,2,0
104,-1,1,0
105,1,2,1
106,-1,1,0
107,-1,1,0
108,-1,1,0
109,1,1,1
110,-1,2,0
111,-1,1,0
112,-1,1,0
113,-1,1,0
114,-1,1,0
115,-1,1,0
116,1,4,1
117,1,2,1
118,-1,1,0
119,-1,1,0
120,1,1,1
121,-1,2,0
122,0,2,0
123,1.0,1,1
124,1,2,1
125,1.0,1,1
126,-1,2,0
127,1,2,1
128,-1,1,0
129,-1,1,0
130,-1,2,0
131,-1,2,0
132,-1,2,0
133,-1,1,0
134,-1,2,0
135,1,1,1
136,-1,1,0
137,-1,3,0
138,-1,1,0
139,-1,1,0
140,1,1,1
141,-1,2,0
142,1,1,1
143,-1,1,0
144,-1,3,0
145,-1,2,0
146,-1,1,0
147,-1,3,0
148,-1,2,0
149,-1,1,0
150,-1,2,0
151,0,1,0
152,-1,1,0
153,1,1,1
154,-1,1,0
155,1,2,1
156,-1,2,0
157,-1,1,0
158,-1,1,0
159,-1,2,0
160,1,1,1
161,-1,1,0
162,-1,1,0
163,-1,1,0
164,-1,1,0
165,-1,1,0
166,-1,1,0
167,1,1,1
168,-1,2,0
169,-1,2,0
170,1,1,1
171,-1,2,0
172,-1,2,0
173,-1,1,0
174,-1,3,0
175,-1,2,0
176,-1,2,0
177,1,2,1
178,-1,1,0
179,1,1,1
180,-1,2,0
181,-1,2,0
182,-1,2,0
183,-1,2,0
184,-1,2,0
185,-1,1,0
186,-1,2,0
187,-1,2,0
188,-1,1,0
189,-1,1,0
190,-1,1,0
191,-1,3,0
192,-1,2,0
193,1,1,1
194,1,2,1
195,1,3,1
196,-1,3,0
197,-1,3,0
198,-1,1,0
199,0,2,0
200,1,3,1
201,-1,2,0
202,-1,1,0
203,1,4,1
204,-1,1,0
205,-1,2,0
206,1,5,1
207,-1,2,0
208,0,3,0
209,1,1,1
210,-1,1,0
211,-1,2,0
212,-1,1,0
213,-1,2,0
214,-1,2,0
215,-1,2,0
216,-1,1,0
217,-1,1,0
218,1,1,1
219,-1,1,0
220,-1,1,0
221,-1,3,0
222,-1,3,0
223,-1,1,0
224,-1,1,0
225,1,3,1
226,1,2,1
227,1.0,1,1
228,-1,1,0
229,-1,1,0
230,-1,1,0
231,-1,1,0
232,-1,2,0
233,-1,1,0
234,-1,1,0
235,1,2,1
236,-1,1,0
237,-1,1,0
238,-1,1,0
239,-1,1,0
240,-1,2,0
241,-1,2,0
242,-1,2,0
243,-1,2,0
244,-1,2,0
245,-1,2,0
246,0,1,0
247,1,3,1
248,1,1,1
249,1,1,1
250,0,1,0
251,-1,1,0
252,-1,3,0
253,-1,1,0
254,1.0,1,1
255,-1,2,0
256,-1,1,0
257,-1,1,0
258,-1,2,0
259,1,1,1
260,1,2,1
261,-1,2,0
262,1,1,1
263,1,1,1
264,-1,1,0
265,-1,1,0
266,-1,1,0
267,-1,3,0
268,1,3,1
269,-1,2,0
270,-1,1,0
271,0,1,0
272,-1,1,0
273,-1,5,0
274,-1,2,0
275,-1,1,0
276,-1,2,0
277,-1,1,0
278,-1,2,0
279,1,2,1
280,-1,1,0
281,-1,1,0
282,-1,2,0
283,1,1,1
284,1,3,1
285,-1,1,0
286,-1,1,0
287,-1,1,0
288,-1,1,0
289,-1,2,0
290,-1,1,0
291,-1,2,0
292,-1,1,0
293,-1,3,0
294,-1,2,0
295,-1,1,0
296,-1,2,0
297,-1,2,0
298,-1,2,0
299,-1,1,0
300,-1,2,0
301,-1,3,0
302,-1,1,0
303,-1,2,0
304,-1,2,0
305,-1,2,0
306,-1,1,0
307,1,2,1
308,-1,3,0
309,-1,3,0
310,-1,1,0
311,-1,1,0
312,-1,1,0
313,-1,1,0
314,-1,1,0
315,-1,1,0
316,-1,1,0
317,1,1,1
318,-1,1,0
319,-1,1,0
320,-1,1,0
321,-1,1,0
322,-1,1,0
323,-1,2,0
324,-1,1,0
325,-1,1,0
326,-1,4,0
327,-1,2,0
328,-1,2,0
329,-1,1,0
330,-1,4,0
331,-1,1,0
332,1,2,1
333,-1,2,0
334,-1,3,0
335,-1,1,0
336,-1,1,0
