episode,total_reward,steps,win
1,-2,2,0
2,1,1,1
3,2,1,1
4,-2,2,0
5,2,1,1
6,-2,2,0
7,1,1,1
8,1.5,1,1
9,1,2,1
10,-1,1,0
11,-2,1,0
12,1,1,1
13,-1,1,0
14,-1,1,0
15,-1,1,0
16,-1,1,0
17,1,1,1
18,-1,1,0
19,1,1,1
20,-1,1,0
21,-1,1,0
22,-2,1,0
23,-1,1,0
24,-2,1,0
25,-1,2,0
26,-2,1,0
27,1,1,1
28,0,2,0
29,-1,1,0
30,1,1,1
31,-1,1,0
32,1,2,1
33,-1,1,0
34,-2,1,0
35,1,1,1
36,-1,1,0
37,-1,1,0
38,-2,2,0
39,-1,1,0
40,-1,1,0
41,1,1,1
42,-2,1,0
43,-2,1,0
44,-1,1,0
45,-1,1,0
46,-1,1,0
47,-1,1,0
48,-2,2,0
49,-1,1,0
50,1,3,1
51,1,1,1
52,1,1,1
53,-1,1,0
54,1,1,1
55,-2,1,0
56,-2,1,0
57,-2,1,0
58,1,1,1
59,2,1,1
60,-2,1,0
61,-1,1,0
62,-2,1,0
63,-2,1,0
64,-2,1,0
65,1,2,1
66,-1,1,0
67,1,1,1
68,1,1,1
69,-1,1,0
70,-1,1,0
71,-2,3,0
72,-2,1,0
73,-1,1,0
74,-2,1,0
75,2,1,1
76,-1,1,0
77,2,2,1
78,2,1,1
79,-2,1,0
80,-2,1,0
81,2,1,1
82,2,1,1
83,-2,1,0
84,-2,1,0
85,-1,1,0
86,1,1,1
87,-1,1,0
88,2,1,1
89,-1,1,0
90,-2,1,0
91,-1,1,0
92,1,1,1
93,-2,1,0
94,-1,1,0
95,-1,2,0
96,-2,1,0
97,2,1,1
98,-1,1,0
99,-2,2,0
100,2,1,1
101,-2,1,0
102,-1,1,0
103,2,1,1
104,-1,2,0
105,-2,1,0
106,-1,1,0
107,-1,2,0
108,-1,1,0
109,-1,1,0
110,-1,1,0
111,1,1,1
112,-1,1,0
113,1,1,1
114,-1,1,0
115,-1,1,0
116,-1,1,0
117,-2,1,0
118,-2,1,0
119,-1,1,0
120,-2,2,0
121,-1,1,0
122,-1,2,0
123,-1,1,0
124,-1,1,0
125,-2,1,0
126,-2,1,0
127,-1,2,0
128,-1,1,0
129,1.5,1,1
130,-1,1,0
131,2,2,1
132,-1,1,0
133,-2,1,0
134,1,1,1
135,-1,2,0
136,-1,1,0
137,-1,1,0
138,-2,1,0
139,-1,2,0
140,-2,1,0
141,-1,1,0
142,-1,1,0
143,2,2,1
144,1,2,1
145,-2,1,0
146,-1,1,0
147,-1,1,0
148,-2,3,0
149,-1,1,0
150,-1,1,0
151,0,1,0
152,-2,1,0
153,-1,1,0
154,1,2,1
155,-1,1,0
156,-2,3,0
157,-2,1,0
158,-2,1,0
159,-2,2,0
160,2,1,1
161,-1,1,0
162,1.5,1,1
163,2,1,1
164,1,2,1
165,-1,2,0
166,-1,1,0
167,1,1,1
168,1,2,1
169,1,2,1
170,-2,1,0
171,-2,1,0
172,1,1,1
173,-2,2,0
174,0,1,0
175,2,1,1
176,-2,2,0
177,-2,1,0
178,2,1,1
179,-1,3,0
180,2,1,1
181,-1,1,0
182,2,1,1
183,1,1,1
184,1,1,1
185,-2,1,0
186,-2,1,0
187,-1,2,0
188,1,1,1
189,1,1,1
190,-1,1,0
191,-1,1,0
192,-2,2,0
193,1.5,1,1
194,-1,2,0
195,-1,1,0
196,-1,1,0
197,-1,2,0
198,-1,1,0
199,1,1,1
200,2,2,1
201,-1,1,0
202,-1,1,0
203,-1,1,0
204,-1,1,0
205,-1,1,0
206,-1,1,0
207,-2,2,0
208,-1,1,0
209,-2,1,0
210,-2,1,0
211,-2,1,0
212,-2,1,0
213,-1,1,0
214,1,1,1
215,-2,1,0
216,0,2,0
217,-1,2,0
218,-1,2,0
219,-2,1,0
220,1,1,1
221,2,1,1
222,-2,1,0
223,-2,1,0
224,-2,1,0
225,-1,1,0
226,-1,1,0
227,1.5,1,1
228,2,1,1
229,-1,1,0
230,-1,1,0
231,1,1,1
232,-1,1,0
233,-1,2,0
234,-2,1,0
235,1,2,1
236,0,1,0
237,2,1,1
238,2,1,1
239,2,1,1
240,2,1,1
241,1,1,1
242,-2,1,0
243,2,1,1
244,-1,1,0
245,-1,1,0
246,-1,2,0
247,-1,1,0
248,-1,1,0
249,-2,1,0
250,-2,1,0
251,1,1,1
252,1.5,1,1
253,0,1,0
254,-1,1,0
255,-1,1,0
256,1,1,1
257,2,1,1
258,0,1,0
259,-1,1,0
260,-1,1,0
261,0,2,0
262,-1,1,0
263,1.5,1,1
264,-2,2,0
265,0,2,0
266,2,1,1
267,-1,1,0
268,2,1,1
269,1,1,1
270,1,2,1
