episode,total_reward,steps,win
1,-1,1,0
2,-1,1,0
3,-1,1,0
4,-1,2,0
5,-1,2,0
6,-1,1,0
7,-1,1,0
8,-1,1,0
9,-1,1,0
10,-1,1,0
11,-1,1,0
12,-1,1,0
13,-1,2,0
14,-1,1,0
15,-1,1,0
16,-1,2,0
17,-1,1,0
18,-1,3,0
19,1,1,1
20,-1,3,0
21,-1,1,0
22,-1,1,0
23,-1,1,0
24,-1,2,0
25,1.0,1,1
26,0,2,0
27,-1,1,0
28,-1,1,0
29,-1,1,0
30,-1,1,0
31,1,1,1
32,1,1,1
33,-1,2,0
34,1,2,1
35,-1,1,0
36,-1,1,0
37,1.0,1,1
38,-1,1,0
39,-1,1,0
40,-1,1,0
41,1,1,1
42,-1,1,0
43,-1,2,0
44,1,1,1
45,1,1,1
46,1,1,1
47,1,2,1
48,-1,2,0
49,-1,1,0
50,-1,2,0
51,-1,2,0
52,-1,1,0
53,-1,1,0
54,1,3,1
55,-1,1,0
56,1,2,1
57,1,1,1
58,0,1,0
59,1,2,1
60,1,3,1
61,1,1,1
62,1,1,1
63,1,1,1
64,-1,1,0
65,-1,2,0
66,1,1,1
67,1,2,1
68,-1,2,0
69,1,3,1
70,1,1,1
71,-1,1,0
72,-1,1,0
73,-1,2,0
74,-1,1,0
75,-1,1,0
76,1,1,1
77,-1,1,0
78,-1,2,0
79,-1,1,0
80,-1,1,0
81,-1,1,0
82,-1,1,0
83,1,3,1
84,1,4,1
85,-1,2,0
86,1,1,1
87,-1,1,0
88,-1,1,0
89,-1,2,0
90,-1,1,0
91,-1,2,0
92,1,1,1
93,-1,1,0
94,-1,1,0
95,-1,1,0
96,-1,2,0
97,1,1,1
98,-1,1,0
99,-1,1,0
100,1,1,1
101,-1,1,0
102,-1,2,0
103,-1,1,0
104,-1,2,0
105,-1,2,0
106,-1,1,0
107,-1,2,0
108,-1,3,0
109,-1,2,0
110,-1,1,0
111,0,1,0
112,1.0,1,1
113,1,1,1
114,-1,2,0
115,-1,2,0
116,-1,2,0
117,-1,2,0
118,-1,1,0
119,-1,1,0
120,1,1,1
121,-1,1,0
122,1,1,1
123,-1,1,0
124,-1,1,0
125,1,2,1
126,1,2,1
127,-1,1,0
128,0,1,0
129,1,1,1
130,1,3,1
131,1,2,1
132,-1,1,0
133,-1,2,0
134,-1,1,0
135,-1,1,0
136,-1,1,0
137,-1,1,0
138,-1,2,0
139,1,1,1
140,-1,1,0
141,-1,1,0
142,1.0,1,1
143,1,1,1
144,1,2,1
145,-1,1,0
146,0,1,0
147,-1,2,0
148,-1,1,0
149,-1,1,0
150,-1,1,0
151,-1,1,0
152,0,1,0
153,-1,2,0
154,1,2,1
155,-1,4,0
156,-1,1,0
157,-1,1,0
158,1,1,1
159,-1,1,0
160,0,1,0
161,-1,1,0
162,-1,1,0
163,1,1,1
164,-1,2,0
165,-1,1,0
166,-1,2,0
167,1,1,1
168,-1,1,0
169,-1,1,0
170,-1,1,0
171,-1,2,0
172,-1,2,0
173,-1,1,0
174,-1,1,0
175,1,1,1
176,-1,2,0
177,-1,1,0
178,-1,1,0
179,1,2,1
180,1,1,1
181,-1,1,0
182,-1,1,0
183,0,2,0
184,-1,3,0
185,1.0,1,1
186,-1,1,0
187,0,2,0
188,1,1,1
189,-1,1,0
190,1,1,1
191,1,3,1
192,0,2,0
193,-1,1,0
194,-1,2,0
195,1,2,1
196,1,1,1
197,1,1,1
198,-1,1,0
199,-1,2,0
200,1,1,1
201,-1,2,0
202,0,1,0
203,-1,3,0
204,1,2,1
205,-1,1,0
206,1,1,1
207,-1,1,0
208,1,1,1
209,-1,2,0
210,-1,1,0
211,1,2,1
212,-1,1,0
213,1,1,1
214,1,1,1
215,-1,1,0
216,-1,3,0
217,-1,1,0
218,-1,1,0
219,-1,2,0
220,-1,1,0
221,-1,1,0
222,1,1,1
223,-1,1,0
224,-1,2,0
225,1,1,1
226,-1,1,0
227,1,1,1
228,-1,1,0
229,-1,1,0
230,-1,3,0
231,-1,1,0
232,-1,1,0
233,-1,1,0
234,-1,1,0
235,-1,1,0
236,-1,3,0
237,1,1,1
238,1,1,1
239,1,1,1
240,-1,1,0
241,1,1,1
242,-1,1,0
243,-1,1,0
244,1,1,1
245,-1,2,0
246,-1,2,0
247,0,1,0
248,-1,2,0
249,-1,1,0
250,0,1,0
251,-1,1,0
252,-1,1,0
253,-1,1,0
254,-1,1,0
255,-1,1,0
256,-1,1,0
257,-1,1,0
258,1,2,1
259,-1,2,0
260,-1,1,0
261,-1,1,0
262,0,1,0
263,-1,1,0
264,-1,1,0
265,-1,1,0
266,-1,1,0
267,1,2,1
268,-1,2,0
269,1,1,1
270,-1,1,0
271,1,1,1
272,0,1,0
273,-1,1,0
274,-1,1,0
275,-1,1,0
276,-1,1,0
277,-1,1,0
278,-1,1,0
279,1,1,1
280,-1,1,0
281,-1,1,0
282,-1,1,0
283,-1,1,0
284,1,1,1
285,-1,1,0
286,1,2,1
287,1,1,1
288,1,1,1
289,-1,1,0
290,-1,1,0
291,0,2,0
292,1,1,1
293,1,1,1
294,1,1,1
295,0,1,0
296,-1,1,0
297,-1,1,0
298,-1,1,0
299,-1,2,0
300,1.0,1,1
301,-1,2,0
302,-1,1,0
303,0,1,0
304,-1,1,0
305,-1,1,0
306,-1,1,0
307,1,1,1
308,-1,1,0
309,-1,2,0
310,-1,1,0
311,1,1,1
312,-1,3,0
313,-1,2,0
314,-1,1,0
315,-1,2,0
316,-1,1,0
317,1,2,1
318,-1,1,0
319,1,1,1
320,-1,1,0
321,-1,2,0
322,0,1,0
323,-1,1,0
324,-1,1,0
325,1,1,1
326,-1,1,0
327,-1,2,0
328,-1,2,0
329,0,1,0
330,-1,1,0
331,-1,1,0
332,-1,1,0
333,1,1,1
334,1,1,1
