episode,total_reward,steps,win
1,-1,1,0
2,2,3,1
3,-2,1,0
4,-2,1,0
5,1,1,1
6,-1,2,0
7,-1,1,0
8,1,1,1
9,-1,1,0
10,1,1,1
11,2,1,1
12,-1,1,0
13,1,1,1
14,-2,1,0
15,2,2,1
16,2,1,1
17,-2,1,0
18,-1,2,0
19,1,1,1
20,1,1,1
21,-1,1,0
22,-2,1,0
23,1,1,1
24,2,2,1
25,1,2,1
26,-1,2,0
27,-1,2,0
28,-2,1,0
29,1,1,1
30,1,1,1
31,-1,1,0
32,-1,2,0
33,2,1,1
34,-1,1,0
35,1,1,1
36,-2,1,0
37,-2,2,0
38,-1,2,0
39,-2,1,0
40,1,1,1
41,-2,1,0
42,-1,1,0
43,1,3,1
44,1,1,1
45,1,2,1
46,-2,2,0
47,-2,2,0
48,-1,1,0
49,-2,3,0
50,2,2,1
51,0,1,0
52,-1,2,0
53,1,2,1
54,1,1,1
55,-2,2,0
56,-2,1,0
57,-2,2,0
58,0,1,0
59,-2,1,0
60,-1,1,0
61,-1,1,0
62,-1,2,0
63,-1,1,0
64,1,1,1
65,-1,1,0
66,-2,1,0
67,-1,1,0
68,1,1,1
69,-2,1,0
70,-1,1,0
71,1.0,1,1
72,-1,3,0
73,-1,1,0
74,-2,1,0
75,-1,1,0
76,-2,1,0
77,-1,1,0
78,-2,1,0
79,1,1,1
80,1,2,1
81,-1,1,0
82,-1,1,0
83,1,1,1
84,-2,1,0
85,-1,1,0
86,-2,1,0
87,2,3,1
88,-1,2,0
89,-1,2,0
90,-1,2,0
91,-1,1,0
92,1.0,1,1
93,1,1,1
94,-2,1,0
95,-2,1,0
96,-1,1,0
97,1,1,1
98,-1,1,0
99,-2,1,0
100,2,2,1
101,-1,1,0
102,-1,2,0
103,-1,1,0
104,2,2,1
105,-1,1,0
106,1,2,1
107,-1,2,0
108,-1,1,0
109,2,1,1
110,-2,2,0
111,-1,1,0
112,2,1,1
113,-1,2,0
114,-2,2,0
115,1,1,1
116,-2,1,0
117,-2,1,0
118,-1,1,0
119,-1,2,0
120,-1,1,0
121,-1,1,0
122,0,1,0
123,-1,2,0
124,1.0,1,1
125,-2,1,0
126,1,2,1
127,-1,1,0
128,-1,1,0
129,-2,1,0
130,1,2,1
131,-1,1,0
132,1,1,1
133,1,1,1
134,-1,1,0
135,-2,1,0
136,-2,1,0
137,0,1,0
138,-1,1,0
139,-1,1,0
140,0,1,0
141,1,1,1
142,2,1,1
143,-1,2,0
144,-2,5,0
145,-1,1,0
146,1,1,1
147,-1,1,0
148,2,1,1
149,-2,1,0
150,-1,1,0
151,0,1,0
152,-2,1,0
153,-2,1,0
154,1,1,1
155,-1,1,0
156,1,2,1
157,-2,1,0
158,-2,3,0
159,-1,1,0
160,-1,1,0
161,-1,1,0
162,-1,1,0
163,-2,1,0
164,-1,1,0
165,-1,1,0
166,-2,1,0
167,-1,1,0
168,1,1,1
169,-1,1,0
170,0,1,0
171,-1,1,0
172,-2,1,0
173,-1,1,0
174,-2,1,0
175,-1,1,0
176,-2,2,0
177,-2,1,0
178,-1,1,0
179,-1,1,0
180,0,1,0
181,1,1,1
182,2,1,1
183,-1,2,0
184,-1,1,0
185,-2,1,0
186,-2,1,0
187,0,1,0
188,-2,1,0
189,2,1,1
190,1,1,1
191,-2,2,0
192,-2,1,0
193,1.0,1,1
194,-2,1,0
195,-1,2,0
196,2,1,1
197,-1,1,0
198,-2,1,0
199,-1,1,0
200,-1,1,0
201,-2,1,0
202,1,1,1
203,-2,1,0
204,-1,2,0
205,2,1,1
206,2,1,1
207,-1,1,0
208,1,1,1
209,1,1,1
210,1,1,1
211,1,1,1
212,-1,1,0
213,-2,1,0
214,-1,1,0
215,-2,2,0
216,-2,1,0
217,-2,1,0
218,1,2,1
219,-1,1,0
220,2,1,1
221,-1,1,0
222,2,1,1
223,-1,1,0
224,-2,1,0
225,-1,2,0
226,-1,1,0
227,-1,1,0
228,2,1,1
229,-1,1,0
230,-1,1,0
231,1,1,1
232,-1,1,0
233,1,1,1
234,2,1,1
235,-1,1,0
236,1,2,1
237,2,1,1
238,-1,1,0
239,-1,1,0
240,-2,1,0
241,1,1,1
242,-1,1,0
243,-1,2,0
244,1,1,1
245,1,2,1
246,-2,1,0
247,1,1,1
248,-2,1,0
249,2,1,1
250,-2,1,0
251,-1,1,0
252,-2,1,0
253,-2,1,0
254,2,1,1
255,-1,1,0
256,1,1,1
257,0,2,0
258,-2,1,0
259,-2,1,0
260,-1,1,0
261,-1,2,0
262,2,1,1
263,-2,2,0
264,-1,2,0
265,1,1,1
266,1,1,1
267,1,2,1
268,1.0,1,1
269,-2,2,0
270,-1,1,0
271,1,1,1
272,-1,1,0
273,-2,1,0
274,-1,1,0
275,1,2,1
276,1,3,1
277,-1,1,0
278,-2,1,0
279,-2,1,0
280,1.0,1,1
281,0,2,0
282,-1,2,0
283,-1,1,0
284,1,1,1
285,1,1,1
286,-1,1,0
287,-2,1,0
288,1,1,1
289,0,1,0
290,-1,1,0
291,-1,2,0
292,2,1,1
293,-1,1,0
294,-1,1,0
295,-2,1,0
296,-1,1,0
297,1,2,1
298,-2,1,0
299,2,1,1
300,-1,1,0
301,1,1,1
302,-2,1,0
303,-1,1,0
304,-2,1,0
305,-1,1,0
306,-2,1,0
307,-2,1,0
308,-1,1,0
309,-1,1,0
310,-1,1,0
311,-1,1,0
312,-2,1,0
313,-1,1,0
314,-1,1,0
315,-2,1,0
316,1,1,1
317,-1,1,0
318,-2,1,0
319,-1,1,0
320,-1,1,0
321,1,1,1
322,-1,1,0
323,2,1,1
324,-1,1,0
325,-1,1,0
326,-1,1,0
327,-1,2,0
328,-1,1,0
329,0,2,0
330,-2,1,0
331,-2,1,0
332,-2,1,0
333,2,1,1
334,-1,1,0
335,-2,1,0
336,1,1,1
337,-2,1,0
338,-1,1,0
339,0,1,0
340,-2,1,0
341,-1,1,0
342,-2,1,0
343,-1,1,0
344,-1,1,0
345,-1,1,0
346,-2,2,0
347,-2,1,0
348,1,1,1
349,-2,1,0
350,1,1,1
351,2,1,1
352,-2,1,0
353,-1,1,0
354,-1,1,0
355,0,1,0
356,-1,1,0
357,0,1,0
358,2,1,1
359,2,1,1
360,-1,2,0
361,-2,1,0
362,2,1,1
363,-2,1,0
364,-1,1,0
365,1,1,1
366,-1,1,0
367,1.0,1,1
368,0,1,0
369,-1,1,0
370,-1,1,0
371,1,1,1
372,-2,1,0
373,1.0,1,1
374,-1,1,0
375,-1,2,0
376,1.0,1,1
377,1,1,1
378,-2,1,0
379,-1,1,0
380,-2,1,0
381,2,1,1
382,-1,1,0
383,1.0,1,1
384,-2,1,0
385,-1,1,0
386,2,1,1
387,-1,1,0
388,-2,1,0
389,-1,1,0
390,1,1,1
391,-1,1,0
392,2,1,1
393,1,2,1
394,-1,1,0
395,-1,1,0
396,-1,1,0
