episode,total_reward,steps,win
1,2,1,1
2,-1,1,0
3,-1,1,0
4,-2,1,0
5,-1,1,0
6,-2,1,0
7,-1,1,0
8,2,1,1
9,-1,1,0
10,-1,2,0
11,-2,1,0
12,-2,1,0
13,2,1,1
14,1,1,1
15,2,1,1
16,-1,1,0
17,-2,2,0
18,2,1,1
19,-2,2,0
20,-1,1,0
21,-1,2,0
22,1,1,1
23,-1,2,0
24,-2,1,0
25,-1,1,0
26,1,1,1
27,1,1,1
28,2,1,1
29,1,2,1
30,-2,1,0
31,-2,2,0
32,-2,2,0
33,-1,2,0
34,1,1,1
35,-2,1,0
36,1,1,1
37,-1,1,0
38,-1,1,0
39,2,1,1
40,-1,1,0
41,-2,1,0
42,-1,1,0
43,-1,1,0
44,-1,2,0
45,0,2,0
46,-2,1,0
47,-2,1,0
48,-2,1,0
49,2,1,1
50,-1,1,0
51,-2,2,0
52,-1,1,0
53,2,1,1
54,-2,1,0
55,-2,1,0
56,-1,1,0
57,-2,1,0
58,-2,1,0
59,-1,1,0
60,-2,2,0
61,1,1,1
62,-1,1,0
63,-2,1,0
64,-1,1,0
65,1,1,1
66,-2,1,0
67,-1,1,0
68,-1,2,0
69,-2,1,0
70,1,2,1
71,-1,1,0
72,-1,2,0
73,-2,1,0
74,1,1,1
75,0,1,0
76,-1,2,0
77,0,1,0
78,1,1,1
79,1,1,1
80,-1,1,0
81,2,1,1
82,-1,1,0
83,-2,2,0
84,-1,1,0
85,-2,1,0
86,1,1,1
87,-1,1,0
88,-2,2,0
89,1,2,1
90,-1,1,0
91,-2,2,0
92,-1,1,0
93,-1,1,0
94,1,1,1
95,-2,1,0
96,-1,1,0
97,1,1,1
98,2,1,1
99,-1,1,0
100,-2,1,0
101,-1,2,0
102,1,1,1
103,-1,2,0
104,-1,1,0
105,-2,1,0
106,-2,2,0
107,-2,1,0
108,-1,2,0
109,-1,1,0
110,-1,1,0
111,-2,1,0
112,1,2,1
113,1,2,1
114,-1,1,0
115,-1,1,0
116,-1,1,0
117,-1,1,0
118,-1,1,0
119,-2,1,0
120,-1,1,0
121,1,1,1
122,-1,3,0
123,2,1,1
124,1,1,1
125,1,1,1
126,1.5,1,1
127,-2,1,0
128,-1,1,0
129,-2,1,0
130,-1,1,0
131,-1,1,0
132,1,1,1
133,-1,1,0
134,-1,1,0
135,-1,1,0
136,1,1,1
137,1,1,1
138,-1,1,0
139,1,1,1
140,-2,1,0
141,2,1,1
142,1,1,1
143,1,2,1
144,1,1,1
145,-1,1,0
146,0,1,0
147,-1,2,0
148,-1,1,0
149,-1,1,0
150,2,2,1
151,-1,1,0
152,1,1,1
153,-2,1,0
154,1,1,1
155,1,2,1
156,2,2,1
157,-1,1,0
158,-1,1,0
159,1,1,1
160,-2,1,0
161,-1,2,0
162,1,1,1
163,-2,1,0
164,1,1,1
165,1,2,1
166,-1,1,0
167,-1,1,0
168,1,1,1
169,1.5,1,1
170,2,1,1
171,-2,1,0
172,1.5,1,1
173,-1,1,0
174,-1,1,0
175,1,1,1
176,-1,1,0
177,-1,1,0
178,1,1,1
179,-2,1,0
180,0,1,0
181,1,1,1
182,1,1,1
183,-1,1,0
184,1,1,1
185,1,1,1
186,-1,1,0
187,-1,1,0
188,-2,1,0
189,-1,1,0
190,-2,1,0
191,-2,3,0
192,2,1,1
193,1,1,1
194,1.5,1,1
195,-1,2,0
196,1,2,1
197,-1,1,0
198,1,1,1
199,0,1,0
200,-2,1,0
201,-1,1,0
202,-1,1,0
203,1,1,1
204,-1,1,0
205,-1,1,0
206,-1,1,0
207,1.5,1,1
208,-2,2,0
209,-1,1,0
210,-1,2,0
211,1,1,1
212,-1,1,0
213,-1,1,0
214,1,1,1
215,-1,3,0
216,1,1,1
217,1,1,1
218,-1,1,0
219,1,1,1
220,1,2,1
221,2,1,1
222,1,1,1
223,-1,1,0
224,-1,1,0
225,2,1,1
226,-1,1,0
227,1,1,1
228,-2,1,0
229,1,1,1
230,1,1,1
231,-1,2,0
232,-2,1,0
233,1,1,1
234,-1,1,0
235,-1,1,0
236,-1,2,0
237,-1,1,0
238,-1,1,0
239,2,1,1
240,-1,1,0
241,-1,1,0
242,-2,1,0
243,1,1,1
244,-1,1,0
245,-1,1,0
246,1,1,1
247,-2,2,0
248,-1,1,0
249,1,2,1
250,-2,1,0
251,1.5,1,1
252,-1,1,0
253,-2,2,0
254,-1,1,0
255,2,1,1
256,2,1,1
257,-1,1,0
258,1,1,1
