episode,total_reward,steps,win
1,1,2,1
2,0,1,0
3,1,4,1
4,1,2,1
5,1,1,1
6,1,1,1
7,-1,1,0
8,-1,4,0
9,1,3,1
10,-1,1,0
11,-1,1,0
12,1,1,1
13,-1,1,0
14,1,1,1
15,-1,1,0
16,1,1,1
17,-1,1,0
18,-1,1,0
19,-1,2,0
20,1,4,1
21,-1,1,0
22,-1,3,0
23,1,1,1
24,-1,2,0
25,-1,1,0
26,-1,2,0
27,-1,1,0
28,-1,2,0
29,-1,2,0
30,-1,1,0
31,-1,3,0
32,-1,1,0
33,-1,2,0
34,1,1,1
35,-1,1,0
36,-1,2,0
37,-1,3,0
38,-1,1,0
39,-1,2,0
40,-1,2,0
41,1,2,1
42,-1,1,0
43,1,2,1
44,-1,1,0
45,-1,2,0
46,1,1,1
47,-1,1,0
48,1,2,1
49,-1,1,0
50,1,1,1
51,1,1,1
52,-1,2,0
53,1,1,1
54,1,3,1
55,-1,2,0
56,-1,1,0
57,1,1,1
58,-1,2,0
59,1,1,1
60,-1,1,0
61,-1,1,0
62,-1,1,0
63,-1,1,0
64,-1,2,0
65,0,1,0
66,-1,1,0
67,-1,1,0
68,-1,1,0
69,-1,1,0
70,0,1,0
71,-1,1,0
72,-1,1,0
73,-1,2,0
74,-1,2,0
75,0,1,0
76,-1,1,0
77,-1,1,0
78,1,4,1
79,1,1,1
80,1,1,1
81,-1,1,0
82,-1,1,0
83,-1,1,0
84,-1,1,0
85,1,1,1
86,-1,1,0
87,1,2,1
88,-1,2,0
89,1,1,1
90,-1,1,0
91,1.0,1,1
92,1,1,1
93,-1,1,0
94,1,2,1
95,-1,1,0
96,-1,1,0
97,0,2,0
98,-1,1,0
99,-1,1,0
100,-1,1,0
101,1,2,1
102,-1,1,0
103,0,1,0
104,1,1,1
105,-1,1,0
106,1,1,1
107,-1,1,0
108,-1,2,0
109,-1,1,0
110,-1,1,0
111,-1,1,0
112,-1,2,0
113,1,2,1
114,-1,1,0
115,1,1,1
116,1,2,1
117,-1,1,0
118,-1,3,0
119,-1,1,0
120,-1,2,0
121,-1,1,0
122,-1,3,0
123,-1,1,0
124,-1,2,0
125,-1,1,0
126,-1,2,0
127,-1,1,0
128,-1,1,0
129,-1,1,0
130,-1,1,0
131,-1,1,0
132,-1,2,0
133,-1,1,0
134,-1,2,0
135,-1,1,0
136,-1,1,0
137,1,1,1
138,-1,2,0
139,1,2,1
140,-1,2,0
141,-1,1,0
142,1.0,1,1
143,-1,2,0
144,-1,1,0
145,-1,2,0
146,-1,1,0
147,1,1,1
148,-1,1,0
149,1,3,1
150,-1,1,0
151,1,3,1
152,-1,1,0
153,-1,1,0
154,-1,2,0
155,1,1,1
156,-1,2,0
157,1,1,1
158,-1,1,0
159,-1,1,0
160,-1,1,0
161,-1,1,0
162,1,1,1
163,1,1,1
164,1,1,1
165,-1,1,0
166,-1,1,0
167,-1,1,0
168,-1,2,0
169,0,2,0
170,-1,1,0
171,-1,1,0
172,1,1,1
173,-1,1,0
174,1,3,1
175,-1,1,0
176,1,1,1
177,0,1,0
178,-1,2,0
179,1,1,1
180,1,1,1
181,1,1,1
182,1,1,1
183,-1,2,0
184,1,1,1
185,1,1,1
186,1,2,1
187,-1,1,0
188,-1,1,0
189,-1,1,0
190,0,1,0
191,1.0,1,1
192,-1,2,0
193,-1,1,0
194,-1,1,0
195,1.0,1,1
196,-1,1,0
197,1,2,1
198,-1,1,0
199,-1,2,0
200,-1,1,0
201,0,2,0
202,-1,1,0
203,-1,1,0
204,-1,1,0
205,-1,1,0
206,1,2,1
207,-1,1,0
208,-1,2,0
209,1,1,1
210,-1,1,0
211,-1,1,0
212,-1,1,0
213,1,2,1
214,-1,2,0
215,1,1,1
216,-1,2,0
217,-1,1,0
218,1,1,1
219,-1,1,0
220,-1,1,0
221,-1,1,0
222,1,1,1
223,-1,1,0
224,1,1,1
225,1,1,1
226,1,1,1
227,-1,2,0
228,-1,1,0
229,-1,2,0
230,-1,2,0
231,1,1,1
232,1,2,1
233,-1,1,0
234,1,1,1
235,-1,1,0
236,-1,1,0
237,1,2,1
238,-1,1,0
239,-1,3,0
240,1,1,1
241,-1,1,0
242,-1,2,0
243,-1,1,0
244,-1,1,0
245,1,2,1
246,-1,1,0
247,-1,1,0
248,1,1,1
249,-1,1,0
250,-1,1,0
251,-1,2,0
252,1,2,1
253,1,1,1
254,-1,2,0
255,1,3,1
256,1,2,1
257,1,2,1
258,-1,1,0
259,1,1,1
260,-1,2,0
261,-1,1,0
262,-1,2,0
263,1,2,1
264,-1,1,0
265,-1,1,0
266,1,4,1
267,1,1,1
268,1,2,1
269,-1,3,0
270,-1,1,0
271,1,1,1
272,0,2,0
273,-1,1,0
274,1,2,1
275,1,1,1
276,-1,1,0
277,1,1,1
278,-1,1,0
279,-1,2,0
280,-1,1,0
281,1,1,1
282,-1,1,0
283,-1,1,0
284,-1,1,0
285,1,2,1
286,-1,1,0
287,1,1,1
288,-1,2,0
289,1,1,1
290,1,2,1
291,-1,1,0
292,1,1,1
293,-1,1,0
294,-1,1,0
295,-1,2,0
296,-1,1,0
297,-1,2,0
298,-1,1,0
299,-1,1,0
300,-1,1,0
301,1,2,1
302,-1,1,0
303,1,1,1
304,1,1,1
305,-1,1,0
306,-1,1,0
307,-1,1,0
308,1,1,1
309,-1,1,0
310,-1,1,0
311,1,1,1
312,-1,1,0
313,-1,1,0
314,-1,1,0
315,-1,4,0
316,-1,1,0
317,1,1,1
318,-1,1,0
319,0,1,0
320,-1,2,0
321,1,2,1
322,1,1,1
323,-1,1,0
324,-1,2,0
325,-1,1,0
326,-1,1,0
327,1,1,1
328,-1,1,0
329,-1,1,0
330,-1,2,0
331,1,1,1
332,-1,1,0
333,1,2,1
334,-1,2,0
335,-1,3,0
336,1,1,1
337,-1,2,0
338,-1,1,0
339,-1,1,0
340,1,2,1
341,-1,1,0
342,-1,1,0
343,-1,1,0
344,-1,2,0
345,1,2,1
346,-1,1,0
347,-1,1,0
348,-1,2,0
349,1,2,1
350,-1,1,0
351,-1,1,0
352,1,1,1
353,0,1,0
354,1,1,1
355,-1,1,0
356,-1,1,0
357,1,1,1
358,-1,2,0
359,-1,1,0
360,-1,1,0
361,1,1,1
362,1.0,1,1
363,1.0,1,1
364,-1,1,0
365,1,1,1
366,-1,2,0
367,1,1,1
368,-1,1,0
369,-1,1,0
370,-1,3,0
371,-1,1,0
372,-1,1,0
373,-1,1,0
374,-1,2,0
375,-1,2,0
376,1,1,1
377,1,1,1
378,-1,1,0
379,1.0,1,1
380,-1,1,0
381,-1,1,0
382,1,1,1
383,-1,2,0
384,1,1,1
385,-1,2,0
386,-1,1,0
387,-1,1,0
388,-1,1,0
389,1,1,1
390,-1,1,0
391,-1,1,0
392,-1,1,0
393,-1,2,0
394,-1,1,0
395,-1,1,0
396,-1,1,0
397,-1,2,0
398,-1,1,0
399,-1,2,0
400,1,1,1
401,1,2,1
402,1,2,1
403,1,1,1
404,1,1,1
405,1,2,1
406,-1,2,0
407,-1,1,0
408,-1,1,0
409,1,1,1
410,-1,1,0
411,1,2,1
412,-1,1,0
413,-1,2,0
414,-1,2,0
415,1,3,1
416,1,1,1
417,-1,1,0
418,1,3,1
419,-1,2,0
420,1.0,1,1
421,-1,2,0
422,1,2,1
423,-1,1,0
424,-1,2,0
425,1.0,1,1
426,-1,1,0
427,1,1,1
428,-1,1,0
429,-1,1,0
430,-1,2,0
431,-1,2,0
432,-1,1,0
433,-1,2,0
434,-1,1,0
435,-1,1,0
436,1,1,1
437,-1,1,0
438,-1,1,0
439,-1,1,0
440,-1,1,0
441,-1,2,0
442,-1,1,0
443,-1,1,0
444,-1,2,0
445,-1,1,0
446,1,1,1
447,-1,1,0
448,1,1,1
449,-1,1,0
450,1,3,1
451,-1,1,0
452,1.0,1,1
453,-1,1,0
454,-1,3,0
455,-1,2,0
456,-1,2,0
457,1,3,1
458,-1,1,0
459,-1,1,0
460,-1,1,0
461,1,1,1
462,1,1,1
463,-1,1,0
464,-1,1,0
465,1,1,1
466,1,1,1
467,-1,1,0
468,-1,1,0
469,1,1,1
470,-1,1,0
471,-1,1,0
472,-1,1,0
473,-1,1,0
474,-1,1,0
475,-1,1,0
476,1,1,1
477,-1,1,0
478,-1,1,0
479,-1,1,0
480,1,2,1
481,1,1,1
482,-1,1,0
483,1,1,1
484,-1,1,0
485,1,2,1
486,1,1,1
487,-1,2,0
488,1,1,1
489,-1,2,0
490,1,1,1
491,1,2,1
492,1,1,1
493,-1,1,0
494,-1,1,0
495,-1,1,0
496,1,1,1
497,1,2,1
498,1,2,1
499,-1,1,0
500,-1,1,0
501,-1,1,0
502,-1,1,0
503,1,1,1
504,-1,1,0
505,1,2,1
506,-1,1,0
507,-1,1,0
508,1,1,1
509,1,1,1
510,-1,2,0
511,-1,2,0
512,-1,1,0
513,0,1,0
514,1,1,1
515,1.0,1,1
516,-1,2,0
517,-1,1,0
518,-1,1,0
519,-1,2,0
520,-1,1,0
521,-1,1,0
522,1,1,1
523,1,2,1
524,1,3,1
525,-1,1,0
526,-1,2,0
527,-1,1,0
528,1,1,1
529,-1,1,0
530,0,3,0
531,1.0,1,1
532,-1,2,0
533,-1,1,0
534,1,1,1
535,1,3,1
536,-1,2,0
537,1.0,1,1
538,-1,1,0
539,-1,1,0
540,-1,1,0
541,1,1,1
542,1,2,1
543,1,1,1
544,-1,2,0
545,0,2,0
546,0,2,0
547,-1,2,0
548,1,1,1
549,1,3,1
550,-1,1,0
551,1,1,1
552,-1,1,0
553,0,2,0
554,-1,1,0
555,-1,2,0
556,-1,1,0
557,-1,1,0
558,-1,1,0
559,1,1,1
560,-1,1,0
561,-1,1,0
562,1,1,1
563,-1,1,0
564,-1,1,0
565,-1,1,0
566,-1,1,0
567,-1,1,0
568,-1,1,0
569,1,1,1
570,1,1,1
571,-1,1,0
572,-1,2,0
